taxonid,genus,species,category
17026,Phocarctos,hookeri,EN
22103,Trichechus,manatus,VU
10303,Hydrodamalis,gigas,EX
22102,Trichechus,inunguis,VU
4162,Cephalorhynchus,hectori,EN
9561,Gulo,gulo,LC
12848,Martes,martes,LC
13110,Melogale,everetti,EN
14018,Mustela,lutreola,CR
14019,Mustela,lutreolina,LC
14020,Mustela,nigripes,EN
14025,Mustela,africana,LC
14026,Mustela,felipei,VU
14027,Mustela,strigidorsa,LC
29672,Martes,foina,LC
29673,Meles,meles,LC
29674,Mustela,erminea,LC
29679,Mustela,eversmanii,LC
29680,Vormela,peregusna,VU
40784,Neovison,macrodon,EX
41626,Melogale,moschata,LC
41627,Melogale,personata,LC
41629,Mellivora,capensis,LC
41639,Galictis,cuja,LC
41640,Galictis,vittata,LC
41644,Eira,barbara,LC
41645,Ictonyx,libycus,LC
41646,Ictonyx,striatus,LC
41647,Lyncodon,patagonicus,LC
41648,Martes,americana,LC
41649,Martes,flavigula,LC
41650,Martes,melampus,LC
41652,Martes,zibellina,LC
41653,Mustela,altaica,NT
41654,Mustela,frenata,LC
41655,Mustela,kathiah,LC
41656,Mustela,itatsi,NT
41657,Mustela,nudipes,LC
41658,Mustela,putorius,LC
41659,Mustela,sibirica,LC
41661,Neovison,vison,LC
41662,Poecilogale,albinucha,LC
41663,Taxidea,taxus,LC
41697,Melogale,orientalis,LC
136242,Meles,anakuma,LC
136385,Meles,leucurus,LC
2055,Arctocephalus,australis,LC
2057,Arctocephalus,galapagoensis,EN
2060,Arctocephalus,pusillus,LC
2061,Arctocephalus,townsendi,LC
2062,Arctocephalus,tropicalis,LC
3590,Callorhinus,ursinus,VU
6204,Cystophora,cristata,VU
8010,Erignathus,barbatus,LC
8239,Eumetopias,jubatus,NT
9660,Halichoerus,grypus,LC
10340,Hydrurga,leptonyx,LC
11696,Leptonychotes,weddellii,LC
12246,Lobodon,carcinophaga,LC
13581,Mirounga,angustirostris,LC
13583,Mirounga,leonina,LC
13654,Neomonachus,schauinslandi,EN
13655,Neomonachus,tropicalis,EX
14549,Neophoca,cinerea,EN
15106,Odobenus,rosmarus,VU
15269,Ommatophoca,rossii,LC
17013,Phoca,vitulina,LC
17023,Phoca,largha,LC
41664,Arctocephalus,forsteri,LC
41666,Zalophus,californianus,LC
41668,Zalophus,wollebaeki,EN
41669,Pusa,caspica,EN
41670,Histriophoca,fasciata,LC
41671,Pagophilus,groenlandicus,LC
41672,Pusa,hispida,LC
41676,Pusa,sibirica,LC
2467,Balaena,mysticetus,LC
2474,Balaenoptera,acutorostrata,LC
2476,Balaenoptera,edeni,LC
2478,Balaenoptera,physalus,VU
2480,Balaenoptera,bonaerensis,NT
2763,Berardius,bairdii,LC
3778,Caperea,marginata,LC
4160,Cephalorhynchus,eutropia,NT
4161,Cephalorhynchus,heavisidii,NT
6335,Delphinapterus,leucas,LC
8097,Eschrichtius,robustus,LC
8153,Eubalaena,australis,LC
8551,Feresa,attenuata,LC
9249,Globicephala,macrorhynchus,LC
9250,Globicephala,melas,LC
9461,Grampus,griseus,LC
10707,Hyperoodon,ampullatus,NT
10708,Hyperoodon,planifrons,LC
10831,Inia,geoffrensis,EN
11140,Lagenodelphis,hosei,LC
11141,Lagenorhynchus,acutus,LC
11142,Lagenorhynchus,albirostris,LC
11143,Lagenorhynchus,australis,LC
11144,Lagenorhynchus,cruciger,LC
11145,Lagenorhynchus,obliquidens,LC
12125,Lissodelphis,borealis,LC
12126,Lissodelphis,peronii,LC
13006,Megaptera,novaeangliae,LC
13241,Mesoplodon,bidens,LC
13242,Mesoplodon,bowdoini,DD
13243,Mesoplodon,carlhubbsi,DD
13244,Mesoplodon,densirostris,LC
13245,Mesoplodon,europaeus,LC
13247,Mesoplodon,grayi,LC
13248,Mesoplodon,hectori,DD
13249,Mesoplodon,layardii,LC
13250,Mesoplodon,mirus,LC
13251,Mesoplodon,peruvianus,LC
13252,Mesoplodon,stejnegeri,NT
13704,Monodon,monoceros,LC
15421,Orcinus,orca,DD
16564,Peponocephala,electra,LC
17027,Phocoena,phocoena,LC
17029,Phocoena,spinipinnis,NT
17032,Phocoenoides,dalli,LC
20729,Stenella,attenuata,LC
